clue,count,percent
Non-fruit smoothie flavor,1,0.03
Product first released by the National Biscuit Company in 1912,1,0.03
Stackable dessert item,1,0.03
"Cookie jar denizen, sometimes",1,0.03
Cookie that's loaded with vowels,1,0.03
"DoubleStuf, e.g.",1,0.03
Snack with white filling,1,0.03
Chocolate cookie with white filling,1,0.03
"Cookie on a sundae, sometimes",1,0.03
Cookie selection,1,0.03
Cookie with a white cream filling,1,0.03
"""Wonderfilled"" treat",1,0.03
Cookie with a green tea version in Asia,1,0.03
Treat consisting of 29% creme,1,0.03
Treat that's had a holiday candy cane edition,1,0.03
Treat with a trademarked design,1,0.03
Chocolaty treat since 1912,1,0.03
Cookie that reportedly is produced in 59 minutes,1,0.03
Three-ply cookie,1,0.03
Treat often split,1,0.03
__ cookies 'n creme: Jell-O flavor,1,0.03
"""Twist, Lick, Dunk"" cookie",1,0.03
"Black-and-white, in sneaker lingo",1,0.03
"Brand touted as ""Milk's favorite cookie""",1,0.03
Chocolaty goodie,1,0.03
Cookie that started as a Hydrox knockoff,1,0.03
"Dessert item that was clued as ""Mountain: Comb. form"" in old crosswords",1,0.03
Food brand since 1912,1,0.03
Treat since 1912,1,0.03
Black-and-white sandwich cookie,1,0.03
Common cookie type,1,0.03
Cookie that can be disassembled,1,0.03
Popular chocolate cookie,1,0.03
Cookie in some McFlurrys,1,0.03
Cookie in some cheesecake crusts,1,0.03
Cookie resembling the old Hydrox,1,0.03
Crunchy ingredient in ice cream,1,0.03
Three-layered snack,1,0.03
Circular Nabisco snack,1,0.03
Cookie with a limited-edition Swedish Fish variety,1,0.03
Dairy Queen Blizzard flavor,1,0.03
Dunked snack,1,0.03
One may be crumbled on a sundae,1,0.03
"__ Biscuit, product debut of 1912",1,0.03
"""Creme sandwich"" introduced over a century ago",1,0.03
"Brand name after ""Oh! Oh!,"" in old ads",1,0.03
Certain fro-yo add-in,1,0.03
Cookie that may be dipped in milk,1,0.03
Crumbled froyo topping,1,0.03
It's 29% cream,1,0.03
Its filling contained lard until 1997,1,0.03
Nabisco brand since 1912,1,0.03
Nabisco's answer to Hydrox,1,0.03
Snack you might bite or lick,1,0.03
___ O's (chocolaty cereal brand),1,0.03
Certain cookie brand,1,0.03
Chocolate cookie brand,1,0.03
Cookie from Nabisco,1,0.03
Cookie with more vowels than consonants,1,0.03
Cookie with three layers,1,0.03
Cookie with three vowels,1,0.03
Cookie you may twist apart,1,0.03
Three-layered cookie,1,0.03
1912 answer to the Hydrox,1,0.03
Cookie deep-fried at state fairs,1,0.03
Cookie from the makers of 10-Across,1,0.03
"Cookie once billed as a ""biscuit""",1,0.03
Cookie with a PB&J variety,1,0.03
Cookie with a limited-edition Peeps version,1,0.03
Cookies 'n' creme cookie,1,0.03
Nabisco cookie since 1912,1,0.03
Snack often eaten inside-out,1,0.03
"Cookie whose ""Templar"" design elements have been debunked by Snopes.com",1,0.03
Mystery ___ (October 2017 snack release),1,0.03
Treat whose Cherry Cola version debuted in 2018,1,0.03
Apt name for a tuxedo cat,1,0.03
Nabisco bite,1,0.03
Stale cookie in crosswords?,1,0.03
Two-toned snack,1,0.03
Frozen yogurt mix-in,1,0.03
Nabisco snack since 1912,1,0.03
Sister brand of Nilla wafers,1,0.03
Snack that's often pulled apart,1,0.03
Chocolate nosh,1,0.03
Particular cream cookie,1,0.03
Three-voweled snack,1,0.03
Cookie crumbled in ice cream,1,0.03
Cookie crumbled into desserts,1,0.03
Cookie embossed with its name,1,0.03
Cookie in cheesecake recipes,1,0.03
Cookie in dirt cups,1,0.03
Cookie in pie crust,1,0.03
Cookie that may be pulled apart,1,0.03
Cookie with a Cookies & Creme variety,1,0.03
Cookie with a Thin Bites variety,1,0.03
Cookie with a Triple Double variety,1,0.03
Cookie with floret designs,1,0.03
Deep-fried carnival treat,1,0.03
Its Halloween variety has orange creme,1,0.03
Snack Pack cookie,1,0.03
Snack with a Thin Bites variety,1,0.03
Three-layer lunchbox treat,1,0.03
Treat whose name appears on it twice,1,0.03
Cookie sold in over 100 countries,1,0.03
Treat with its name on both sides,1,0.03
Big name in the cookie aisle,1,0.03
Cookie in some Breyers Cookies & Cream,1,0.03
Crumbled sundae-topping cookie,1,0.03
DQ Blizzard flavor,1,0.03
Good name for a tuxedo cat,1,0.03
"It was originally called a ""Biscuit""",1,0.03
Layered Nabisco treat,1,0.03
Black-and-white Nabisco cookie,1,0.03
Black-and-white item you can consume whole,1,0.03
Cookie that's 29% cream,1,0.03
Froyo mix-in,1,0.03
Most common commercial name in New York Times crosswords,1,0.03
Product with a milk splash on its packaging,1,0.03
"Snack item once advertised as ""WONDERfILLED""",1,0.03
Treat with the identical color scheme as this puzzle,1,0.03
___ O's (breakfast cereal),1,0.03
___ Thins (cookies),1,0.03
"Cookie filled with ""Stuf""",1,0.03
Cookie in some sundaes,1,0.03
Cookie on a sundae,1,0.03
Cookie shaped like its first or last letter,1,0.03
Cookie with a Chocolate Peanut Butter Pie flavor,1,0.03
Cookie with a Golden variety,1,0.03
Cookie with crossword colors,1,0.03
Cookie with many limited edition flavors,1,0.03
Crumbled sundae topping,1,0.03
Fried cookie at a fair,1,0.03
Shake cookie,1,0.03
Sister brand of Chips Ahoy!,1,0.03
___ O's (black-and-white cereal),1,0.03
"""Lick Race"" cookie",1,0.03
"""Minute to Win It"" cookie",1,0.03
"1.75""-diameter cookie",1,0.03
53-calorie cookie,1,0.03
Android version between Nougat and Pie,1,0.03
Brand at snackworks.com,1,0.03
Chips Ahoy! shelfmate,1,0.03
Cookie brand with many flavors,1,0.03
Cookie crumbled on sundaes,1,0.03
Cookie in Jell-O pudding,1,0.03
"Cookie in a ""Lick Race""",1,0.03
Cookie in milkshakes,1,0.03
Cookie in mud pies,1,0.03
Cookie in piecrusts,1,0.03
Cookie inspired by the Hydrox,1,0.03
Cookie that's often twisted,1,0.03
Cookie that's sometimes deep-fried,1,0.03
"Cookie with a Big Stuf version, once",1,0.03
Cookie with a Cinnamon Bun variety,1,0.03
Cookie with a Kettle Corn variety,1,0.03
Cookie with a Mini version,1,0.03
Cookie with a Peeps variety,1,0.03
Embossed cookie,1,0.03
Halloween treat with orange creme,1,0.03
Nabisco's top seller,1,0.03
Separable snack item,1,0.03
Snack with its name on it,1,0.03
Venerable cookie,1,0.03
World's top-selling cookie,1,0.03
"Brand with a 2019 ""Most Stuf"" variety",1,0.03
Brand with a hot chicken wing flavor in China,1,0.03
Cookie with a Red Velvet variety,1,0.03
Cookie with a Tiramisu Flavor Creme variety,1,0.03
Crumbled sundae topper,1,0.03
It was inspired by Sunshine Hydrox cookies,1,0.03
Mega Stuf cookie,1,0.03
Snack with a Green Tea version in China and Japan,1,0.03
Black pie crust component,1,0.03
Cookie that may be pulled apart or dunked,1,0.03
Golden ___ (vanilla-flavored snack),1,0.03
Popular name for a black-and-white pet,1,0.03
A child may dunk one in milk,1,0.03
Cheesecake flavor,1,0.03
Cheesecake variety,1,0.03
Cookie introduced after Hydrox,1,0.03
Cookie often split apart,1,0.03
Cookie that went kosher in 1997,1,0.03
Cookie with an annual mystery flavor,1,0.03
Its 2019 mystery flavor was Churro,1,0.03
Most Stuf cookie,1,0.03
Seller of a Double Stuf Cookie pillow,1,0.03
___ O's (cookie-flavored cereal),1,0.03
"""Stuf""-stuffed cookie",1,0.03
Brand of creme-filled cookies,1,0.03
Chocolaty cookie,1,0.03
Cookie bearing the Nabisco logo,1,0.03
Cookie brand with a Carrot Cake flavor,1,0.03
Cookie in some crusts,1,0.03
Cookie that some people eat with mustard,1,0.03
Cookie with a Mega Stuf variety,1,0.03
Cookie with a Most Stuf variety,1,0.03
Great Value's Twist & Shout cookie looks like one,1,0.03
Hydrox cookie lookalike,1,0.03
Makeup of some crumbles,1,0.03
Sister brand of Newtons,1,0.03
Topping on some dessert pizzas,1,0.03
"Brand formerly advertised as ""The Original Twister""",1,0.03
Brand whose 2017 mystery flavor was Fruity Pebbles,1,0.03
Brand with a wasabi flavor in China,1,0.03
"Brand with coconut and pistachio ""Thins""",1,0.03
Dirt pudding ingredient,1,0.03
Milk dunker,1,0.03
Name trademarked in 1912,1,0.03
"Sundae topper, sometimes",1,0.03
Sweet creation of 1912,1,0.03
Three-part treat,1,0.03
Treat with a gingerbread variety,1,0.03
